player_names,bet_type,over/under,stat_threshold,odds,us_odds,implied_probability,sportsbook_prob,edge,ev,composite_z_score
Luka Doncic,player_assists,Under,9.5,1.83,-120,0.43874789198537656,0.5454545454545454,-0.10670665346916886,-0.19562886469347623,-1.5474955964459747
Donovan Mitchell,player_points_alternate,Under,32.5,1.77,-129,0.5472440042365111,0.5633187772925764,-0.016074773056065306,-0.028535837440612055,0.2967705544506453
Bojan Bogdanovic,player_points_alternate,Under,21.5,1.62,-161,0.5637134864850377,0.6168582375478927,-0.05314475106285499,-0.08615391321369659,-0.013584995840928685
Jusuf Nurkic,player_rebounds_alternate,Under,12.5,1.57,-175,0.4649460410123306,0.6363636363636364,-0.17141759535130574,-0.2693705069806233,-2.0038637266812667
Kevin Durant,player_points_alternate,Under,31.5,1.59,-169,0.549542596349962,0.6282527881040892,-0.07871019175412719,-0.12528426971514922,-0.3944380895799822
Isaiah Joe,player_points_alternate,Under,10.5,1.4,-250,0.5801420986433132,0.7142857142857143,-0.13414361564240107,-0.18780106189936152,-0.7288487396286728
Jerami Grant,player_points_alternate,Over,17.5,1.61,-163,0.5622137632037096,0.6197718631178707,-0.057558099914161054,-0.09286981765291019,-0.072911249863876
Chet Holmgren,player_rebounds_alternate,Over,6.5,1.47,-212,0.6044967389239911,0.6794871794871795,-0.07499044056318838,-0.11036328988544708,0.046551722069592426
Victor Wembanyama,player_points_alternate,Over,21.5,1.62,-161,0.5488239889465865,0.6168582375478927,-0.06803424860130625,-0.11029154586919832,-0.2844984148895895
Jarrett Allen,player_rebounds_alternate,Over,10.5,1.59,-169,0.6301957593433242,0.6282527881040892,0.0019429712392349252,0.0030926583630425664,1.064001536944682
Andrew Wiggins,player_points,Over,12.5,1.77,-129,0.5705641334768639,0.5633187772925764,0.007245356184287455,0.012861911365905643,0.7347750252385045
Dillon Brooks,player_points_alternate,Over,11.5,1.61,-163,0.567621163944792,0.6197718631178707,-0.052150699173078685,-0.08414499314429263,0.025318959947282487
Devin Vassell,player_points_alternate,Under,18.5,1.71,-140,0.5598754519557825,0.5833333333333334,-0.023457881377550893,-0.040213510932944396,0.29613829276113496
Kevin Durant,player_assists_alternate,Over,3.5,1.35,-285,0.5893406303004332,0.7402597402597403,-0.15091910995930713,-0.20387318362923942,-0.8196054388478884
Dejounte Murray,player_assists_alternate,Over,6.5,1.47,-212,0.6298517349212793,0.6794871794871795,-0.04963544456590019,-0.07304839011585312,0.4934428046441523
Xavier Tillman,player_rebounds_alternate,Over,5.5,1.35,-285,0.6084966790044968,0.7402597402597403,-0.1317630612552435,-0.17799571432725875,-0.4907954345064243
Clint Capela,player_points_alternate,Over,10.5,1.57,-175,0.5637870449195483,0.6363636363636364,-0.07257659144408801,-0.11404892941213834,-0.22417961621397753
Stephen Curry,player_rebounds_alternate,Under,5.5,1.34,-294,0.5134907210673402,0.7461928934010152,-0.23270217233367507,-0.3118525710866258,-2.174562694662764
Clint Capela,player_rebounds_alternate,Over,8.5,1.59,-169,0.6333988109777172,0.6282527881040892,0.005146022873627976,0.008191006822520275,1.1219218621498803
Luka Doncic,player_rebounds_alternate,Over,7.5,1.47,-212,0.584687992428779,0.6794871794871795,-0.09479918705840051,-0.1395157847274574,-0.30258468349865
Anfernee Simons,player_points,Over,19.5,1.77,-129,0.5569861821873987,0.5633187772925764,-0.006332595105177696,-0.011241583558803836,0.4797505651409774
Ausar Thompson,player_rebounds,Over,4.5,1.77,-129,0.612916051885442,0.5633187772925764,0.04959727459286556,0.08804477427725743,1.530239296392742
Luguentz Dort,player_points_alternate,Under,12.5,1.54,-185,0.5660283393783713,0.6491228070175439,-0.08309446763917261,-0.12801039609277937,-0.3192486740066402
Naz Reid,player_points_alternate,Under,13.5,1.61,-163,0.5637431747787107,0.6197718631178707,-0.05602868833915997,-0.09040211676809251,-0.045128137959745386
Malcolm Brogdon,player_assists_alternate,Under,6.5,1.53,-188,0.454763554245907,0.6527777777777778,-0.19801422353187081,-0.30334093817648294,-2.344184216124941
Devin Vassell,player_assists_alternate,Under,5.5,1.47,-212,0.471322809899429,0.6794871794871795,-0.20816436958775053,-0.306355109959331,-2.300687509159608
Bam Adebayo,player_points_alternate,Under,21.5,1.62,-161,0.5509461651672156,0.6168582375478927,-0.06591207238067709,-0.10685124777240196,-0.24588555946786028
Rudy Gobert,player_points_alternate,Under,16.5,1.54,-185,0.5516147996673512,0.6491228070175439,-0.09750800735019272,-0.15021503835029681,-0.5770749531734422
Alperen Sengun,player_assists_alternate,Over,3.5,1.38,-263,0.5945941011600925,0.7245179063360881,-0.12992380517599567,-0.1793244915547013,-0.5780478536445819
Scoot Henderson,player_points_alternate,Over,9.5,1.69,-144,0.5695197994535156,0.5901639344262295,-0.02064413497271389,-0.03498033981487636,0.39514636347416426
Kyle Anderson,player_rebounds_alternate,Over,2.5,1.37,-270,0.592429129232395,0.7297297297297297,-0.13730060049733472,-0.18815267475560682,-0.6658078418818575
Julian Champagnie,player_points_alternate,Over,6.5,1.53,-188,0.5736570473179795,0.6527777777777778,-0.07912073045979828,-0.12120622538522291,-0.22135233026381482
Alec Burks,player_points_alternate,Over,14.5,1.71,-140,0.5623916997992761,0.5833333333333334,-0.020941633534057313,-0.035899943201241125,0.3428148809767347
Saddiq Bey,player_rebounds_alternate,Over,4.5,1.43,-232,0.5997463733021579,0.6987951807228916,-0.09904880742073374,-0.141742258895188,-0.23422080161004802
Josh Giddey,player_rebounds_alternate,Over,5.5,1.43,-232,0.6093818695274524,0.6987951807228916,-0.08941331119543916,-0.1279535315383009,-0.06588519565770012
Miles Bridges,player_points_alternate,Over,22.5,1.59,-169,0.5476613121913083,0.6282527881040892,-0.08059147591278093,-0.12827873976649745,-0.42845708231259877
Jalen Williams,player_points,Over,18.5,1.77,-129,0.5509047208753024,0.5633187772925764,-0.012414056417274,-0.0220373559655484,0.36552704535823355
